ParticipantID,PhaseID,Datetime,Date
P10,BikeU,2025-08-12 13:47:10,2025-08-12
P10,BikeU,2025-08-12 13:47:20,2025-08-12
P10,BikeU,2025-08-12 13:47:30,2025-08-12
P10,BikeU,2025-08-12 13:47:40,2025-08-12
P10,BikeU,2025-08-12 13:47:50,2025-08-12
P10,BikeU,2025-08-12 13:48:00,2025-08-12
P10,BikeU,2025-08-12 13:48:10,2025-08-12
P10,BikeU,2025-08-12 13:48:20,2025-08-12
P10,BikeU,2025-08-12 13:48:30,2025-08-12
P10,BikeU,2025-08-12 13:48:40,2025-08-12
P10,BikeU,2025-08-12 13:48:50,2025-08-12
P10,BikeU,2025-08-12 13:49:00,2025-08-12
P10,BikeU,2025-08-12 13:49:10,2025-08-12
P10,BikeU,2025-08-12 13:49:20,2025-08-12
P10,BikeU,2025-08-12 13:49:30,2025-08-12
P10,BikeU,2025-08-12 13:49:40,2025-08-12
P10,BikeU,2025-08-12 13:49:50,2025-08-12
P10,BikeU,2025-08-12 13:50:00,2025-08-12
P10,BikeU,2025-08-12 13:50:10,2025-08-12
P10,BikeU,2025-08-12 13:50:20,2025-08-12
P10,BikeU,2025-08-12 13:50:30,2025-08-12
P10,BikeU,2025-08-12 13:50:40,2025-08-12
P10,BikeU,2025-08-12 13:50:50,2025-08-12
P10,BikeU,2025-08-12 13:51:00,2025-08-12
P10,BikeU,2025-08-12 13:51:10,2025-08-12
P10,BikeU,2025-08-12 13:51:20,2025-08-12
P10,BikeU,2025-08-12 13:51:30,2025-08-12
P10,BikeU,2025-08-12 13:51:40,2025-08-12
P10,BikeU,2025-08-12 13:51:50,2025-08-12
P10,BikeU,2025-08-12 13:52:00,2025-08-12
P10,BikeU,2025-08-12 13:52:10,2025-08-12
P10,BikeU,2025-08-12 13:52:20,2025-08-12
P10,BikeU,2025-08-12 13:52:30,2025-08-12
P10,BikeU,2025-08-12 13:52:40,2025-08-12
P10,BikeU,2025-08-12 13:52:50,2025-08-12
P10,BikeU,2025-08-12 13:53:00,2025-08-12
P10,BikeU,2025-08-12 13:53:10,2025-08-12
P10,BikeU,2025-08-12 13:53:20,2025-08-12
P10,BikeU,2025-08-12 13:53:30,2025-08-12
P10,BikeU,2025-08-12 13:53:40,2025-08-12
P10,BikeU,2025-08-12 13:53:50,2025-08-12
P10,BikeU,2025-08-12 13:54:00,2025-08-12
P10,BikeU,2025-08-12 13:54:10,2025-08-12
P10,BikeU,2025-08-12 13:54:20,2025-08-12
P10,BikeU,2025-08-12 13:54:30,2025-08-12
P10,BikeU,2025-08-12 13:54:40,2025-08-12
P10,BikeU,2025-08-12 13:54:50,2025-08-12
P10,BikeU,2025-08-12 13:55:00,2025-08-12
P10,BikeU,2025-08-12 13:55:10,2025-08-12
P10,BikeU,2025-08-12 13:55:20,2025-08-12
P10,BikeU,2025-08-12 13:55:30,2025-08-12
P10,BikeU,2025-08-12 13:55:40,2025-08-12
P10,BikeU,2025-08-12 13:55:50,2025-08-12
P10,BikeU,2025-08-12 13:56:00,2025-08-12
P10,BikeU,2025-08-12 13:56:10,2025-08-12
P10,BikeU,2025-08-12 13:56:20,2025-08-12
P10,BikeU,2025-08-12 13:56:30,2025-08-12
P10,BikeU,2025-08-12 13:56:40,2025-08-12
P10,BikeU,2025-08-12 13:56:50,2025-08-12
P10,BikeU,2025-08-12 13:57:00,2025-08-12
P10,BikeU,2025-08-12 13:57:10,2025-08-12
P10,BikeU,2025-08-12 13:57:20,2025-08-12
P10,BikeU,2025-08-12 13:57:30,2025-08-12
P10,BikeU,2025-08-12 13:57:40,2025-08-12
P10,BikeU,2025-08-12 13:57:50,2025-08-12
P10,BikeU,2025-08-12 13:58:00,2025-08-12
P10,BikeU,2025-08-12 13:58:10,2025-08-12
P10,BikeU,2025-08-12 13:58:20,2025-08-12
P10,BikeU,2025-08-12 13:58:30,2025-08-12
P10,BikeU,2025-08-12 13:58:40,2025-08-12
P10,BikeU,2025-08-12 13:58:50,2025-08-12
P10,BikeU,2025-08-12 13:59:00,2025-08-12
P10,BikeU,2025-08-12 13:59:10,2025-08-12
P10,BikeU,2025-08-12 13:59:20,2025-08-12
P10,BikeU,2025-08-12 13:59:30,2025-08-12
P10,BikeU,2025-08-12 13:59:40,2025-08-12
P10,BikeU,2025-08-12 13:59:50,2025-08-12
P10,BikeU,2025-08-12 14:00:00,2025-08-12
P10,BikeU,2025-08-12 14:00:10,2025-08-12
P10,BikeU,2025-08-12 14:00:20,2025-08-12
P10,BikeU,2025-08-12 14:00:30,2025-08-12
P10,BikeU,2025-08-12 14:00:40,2025-08-12
P10,BikeU,2025-08-12 14:00:50,2025-08-12
P10,BikeU,2025-08-12 14:01:00,2025-08-12
P10,BikeU,2025-08-12 14:01:10,2025-08-12
P10,BikeU,2025-08-12 14:01:20,2025-08-12
P10,BikeU,2025-08-12 14:01:30,2025-08-12
P10,BikeU,2025-08-12 14:01:40,2025-08-12
P10,BikeU,2025-08-12 14:01:50,2025-08-12
P10,BikeU,2025-08-12 14:02:00,2025-08-12
P10,BikeU,2025-08-12 14:02:10,2025-08-12
P10,BikeU,2025-08-12 14:02:20,2025-08-12
P10,BikeU,2025-08-12 14:02:30,2025-08-12
P10,BikeU,2025-08-12 14:02:40,2025-08-12
P10,BikeU,2025-08-12 14:02:50,2025-08-12
P10,BikeU,2025-08-12 14:03:00,2025-08-12
P10,BikeU,2025-08-12 14:03:10,2025-08-12
P10,BikeU,2025-08-12 14:03:20,2025-08-12
P10,BikeU,2025-08-12 14:03:30,2025-08-12
P10,BikeU,2025-08-12 14:03:40,2025-08-12
P10,BikeU,2025-08-12 14:03:50,2025-08-12
P10,BikeU,2025-08-12 14:04:00,2025-08-12
P10,BikeU,2025-08-12 14:04:10,2025-08-12
P10,BikeU,2025-08-12 14:04:20,2025-08-12
P10,BikeU,2025-08-12 14:04:30,2025-08-12
P10,BikeU,2025-08-12 14:04:40,2025-08-12
P10,BikeU,2025-08-12 14:04:50,2025-08-12
P10,BikeU,2025-08-12 14:05:00,2025-08-12
P10,BikeU,2025-08-12 14:05:10,2025-08-12
P10,BikeU,2025-08-12 14:05:20,2025-08-12
P10,BikeU,2025-08-12 14:05:30,2025-08-12
P10,BikeU,2025-08-12 14:05:40,2025-08-12
